key;en;fr;es;it;de
home;Home;Accueil;Página de inicio;Casa;Haus
descri;A stylish supermarket on two levels, offering everything you need for your stay;Un supermarché élégant sur deux niveaux, proposant tout ce dont vous avez besoin pour votre séjour;Un supermercado con estilo en dos niveles, que ofrece todo que lo necesario para su estancia;Un supermercato elegante su due livelli, offrendo tutto il che necessario per il vostro soggiorno;Eine stilvolle Supermarkt auf zwei Ebenen, bietet alles, was Sie für Ihren Aufenthalt benötigen
mont;Enjoy an impregnable view and a landscape that will make you forget your everyday life, away!;Profitez d'une vue imprennable et d'un paysage qui vous fera oublier votre quotidien, evadez vous!;Disfrutar de una vista inexpugnable y un paisaje que te hará olvidar tu vida cotidiana, lejos!;Godere di una vista inespugnabile e un paesaggio che vi farà dimenticare la vita quotidiana, via!;Genießen Sie eine uneinnehmbare Aussicht und eine Landschaft, die Sie entfernt den Alltag vergessen lässt!
rayon;Meat, deli, Grill, dish of the day, change and point press. Home delivery;Rayon boucherie, traiteur, rôtisserie, plat du jour, change et point presse. Livraison à domicile;Carnes, charcutería, asador, plato de la prensa del día, el cambio y punto. Entrega a domicilio;Carne, deli, Grill, piatto del giorno, cambiamento e punto di stampa. Consegna a domicilio;Fleisch, Delikatessen, Grill, Gericht der Tag, Änderung und Punkt Presse. Lieferung frei Haus
conex;Login/registration;Connexion/Inscription;Inicio de sesión/Registro;Login/registrazione;Anmeldung/Registrierung
bout;Shop;Boutique;Tienda;Negozio;Shop
prop;By the way;A propos;A propósito;A proposito;Übrigens
cont;Contact;Contact;Contacto;Contatto;Kontakt
tout;All;Tous;Todos;Tutti i;Alle
bio;Bio;Bio;Bio;Bio;Bio
surg;Frozen;Surgelé;Congelados;Congelati;Gefroren
bois;Drink;Boisson;Bebida;Bere;Trinken
cons;Canning;Conserve;Canning;Canning;Canning
frai;Fees;Frais;Honorarios;Tasse;Gebühren
leg;Vegetable;Legume;Vegetales;Vegetale;Gemüse
hyg;Hostel;Hygienne;Hostal;Ostello;Hostel
frui;Fruit;Fruit;Fruta;Frutta;Obst
sec;SEC;Sec;SEC;SEC;SEC
autr;Other;Autre;Otros;Altri;Andere
test;Test;Test;Prueba;Prova;Test
rem;Discount;Remise;Descuento;Sconto;Rabatt
adre;Address;Adresse;Dirección;Indirizzo;Adresse
tel;Such;Tel;Tales;Tali;Diese
cone;Connect;Se connecter;Conectar;Collegare;Verbinden
mdp;Password;Mot de passe;Contraseña;Password;Passwort
nouv;New user;Nouvel utilisateur;Nuevo usuario;Nuovo utente;Neuer Benutzer
ou;OR;OU;O;OR;ODER
nom;Name;Nom;Nombre;Nome;Name
pren;First name;Prenom;Nombre;Primo nome;Vorname
numtel;Phone number;Numéro de téléphone;Número de teléfono;Numero di telefono;Telefonnummer
numres;Booking number;Numéro de réservation;Número de reserva;Numero di prenotazione;Buchungsnummer
confmdp;Confirm the password;Confirmer le mot de passe;Confirme la contraseña;Confermare la password;Bestätigen Sie das Kennwort
start;Date of arrival;Date d'arrivée;Fecha de llegada;Data di arrivo;Datum der Ankunft
end;Date of departure;Date de départ;Fecha de salida;Data di partenza;Datum der Abreise
hello;Hello;Bonjour;Hola;Ciao;Hallo
myPan;My basket;Mon panier;Mi cesta;Il mio carrello;Mein Warenkorb
lastPan;Last basket;Dernier Panier;Última canasta;Ultimo canestro;Letzten Korb
myInfo;My information;Mes informations;Mi información;Le mie informazioni;Meine Informationen
deco;Disconnection;Déconnection;Desconexión;Disconnessione;Trennung
